,Buy-and-Hold (IS),SMA Crossover (IS),Liquidity-Regime SMA (IS),Buy-and-Hold (OOS),SMA Crossover (OOS),Liquidity-Regime SMA (OOS)
Total Return,0.14539999999999997,0.55735,0.41995000000000005,-0.20265,0.5666500000000001,0.08535000000000004
Annualized Return,0.06616025567848682,0.23250589766142982,0.17993801429202527,-0.19052072882060256,0.5204559792914369,0.07943995657549396
Annualized Volatility,0.21529304630179782,0.1570686720977227,0.08569080465781503,0.39430132266685536,0.18473417713872772,0.07119067963439824
Sharpe Ratio,0.3073032632263625,1.4802818063984946,2.0998520787681136,-0.4831856193938595,2.817323720778511,1.115875799802167
Max Drawdown,-0.32115792120102005,-0.10084934443803084,-0.04487042953496623,-0.4030667587022976,-0.09289110985733862,-0.04934292090255388
Calmar Ratio,0.20600536779871487,2.305477531431038,4.010169195099967,-0.4726778497785274,5.602861028259312,1.6099565068792336
Final Equity,1145400.0,1557350.0,1419950.0,797350.0,1566650.0,1085350.0
Trades,1.0,4396.0,1716.0,1.0,1945.0,674.0
Win Rate,0.5076090273447347,0.5025250815743512,0.5151997683844818,0.5016724257083621,0.5081726975538271,0.5088279089555414
Total Cost,0.0,0.0,0.0,0.0,0.0,0.0
Max Notional Exposure,1671100.0,1671100.0,1667350.0,1460100.0,1459900.0,1457700.0
Max Margin Required,167110.0,167110.0,166735.0,146010.0,145990.0,145770.0
Max Exposure / Capital,1.6711,1.6711,1.66735,1.4601,1.4599,1.4577
