short_window,long_window,total_return,sharpe,max_drawdown,calmar,trades
30,60,0.5387500000000001,1.4873472776736456,-0.09733144826367413,2.317208026212591,4335
20,60,0.55735,1.4802818063984946,-0.10084934443803084,2.305477531431038,4396
8,240,0.47320000000000007,1.3437609779966755,-0.10927766732935718,1.8358441168504485,3665
12,40,0.5179499999999999,1.2536305368998715,-0.17458111973845525,1.2469354043551166,5168
30,96,0.43910000000000005,1.1992623581042987,-0.13471336302001846,1.3912577462825626,3831
12,60,0.4639500000000001,1.1800444226086093,-0.11622985511964834,1.6953764194301344,4614
20,96,0.4696,1.1798797467422162,-0.1826996889014585,1.0904853351731343,3932
20,40,0.43399999999999994,1.0640523511354028,-0.18354561672820813,1.0102846163746833,5051
8,60,0.4245000000000001,1.034693153405735,-0.14038796319323554,1.2944183928881332,4913
12,240,0.3661000000000001,1.0275732744932669,-0.12793822498894447,1.2397031854211804,3562
8,40,0.4395500000000001,0.9757759304486052,-0.18925365367101787,0.9912422427942421,5433
30,240,0.2952999999999999,0.8107698637716335,-0.1657469995861498,0.783547273064922,3379
30,40,0.3425,0.8010274766656306,-0.15856022557053484,0.9404405718621803,5335
20,144,0.32220000000000004,0.7768807528259333,-0.1655785350237985,0.8508569142219969,3652
30,144,0.29194999999999993,0.7711923948065522,-0.14511873350923488,0.8854175425724624,3599
20,240,0.2723,0.710915272735407,-0.15772917914919116,0.7630680212406874,3443
12,96,0.2853000000000001,0.6821775844334108,-0.20596852502929852,0.6105097105160605,4171
8,96,0.2672000000000001,0.638157386656333,-0.17270100288968215,0.6846313668888031,4369
48,96,0.23350000000000004,0.5901680178050102,-0.18785173685231904,0.554175028959695,3795
48,60,0.20025000000000004,0.5519054546548419,-0.19386002576212968,0.464027560606312,4644
12,144,0.2157,0.4865397281843551,-0.24705325647423215,0.39082691242580087,3855
48,240,0.1523000000000001,0.4026942636405588,-0.20180700855951428,0.34283429665597615,3314
48,144,0.14694999999999991,0.3615423585692513,-0.2230757529662306,0.29963305863490775,3516
8,144,0.13024999999999998,0.30115520027831266,-0.23335504885993485,0.25489922854299246,3996
